,,,impression,click,web to app auto redirect,branch cta view,sms sent,open,install,reinstall,web session start,pageview,commerce event,custom event,content event,user lifecycle event
dimension,format,definition,"Loading of a user generated and placed impression pixel for the purpose of creating an attributing event from a marketing effort. By this definition, no automated renders from Branch (e.g. Journeys, Deepviews) are impressions, nor are views of content in the app.",A user initiated action of tapping on a Branch link or html element directly in front of a Branch link,"A web to app auto redirect works by simulating the action of a user clicking a link, but without user interaction. Technically this is implemented using ""open_app=true"" in our web to app products. Currently, this only exists on Journeys (+ banners + Web SDK Deepviews).","The loading of a visual element or webpage that includes a Branch-created CTA, powered by a Branch link. Today, this includes loading Journeys and Deepviews.",An successfully triggered call to send an SMS (not necessarily receipt of the SMS),"A mobile app launch that is not an install (ie not a first time app launch for that persona). An ""open"" ends when an app is backgrounded or closed.",The first time an app launches for a given IDFA/AAID. (Excludes cases where the IDFA is reset with the app still installed.),When an app is deleted then re-installed on the same device (same device is defined as same IDFA/AAID).,A website launch (ie first page view). A session is considered to end after 30 minutes of inactivity (ie not launching a page or triggering an event).,"A pageview is the loading of a single page for a given website which is triggered more specifically, by calling branch.init() or branch.track('pageview')","A standard event where a customer is on a journey to pay money to a business. It excludes views, but includes adding to cart through to purchasing. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.]",Custom event is a non-standard user tracked event. [Uses Branch event tracking code or the Data Ingestion pipeline. Each event within it is a point in time action.],"A standard event involving content that may or may not be a product, but excludes events where a customer is on a journey to pay money to a business (adding to cart to purchasing). [Uses Branch event tracking code. Each event within it is a point in time action.]",A standard event not involving content. [Uses Branch event tracking code. Each event within it is a point in time action.]
,,,"total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique","total, unique, revenue","total, unique",,
user_data_user_agent,string,"user agent of the browser or app where the event occurred. Usually associated with a webview.",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_ip,string,"IP address from which the API call tracking the event originated",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_developer_identity,string,"developer-specified identity for a user",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_country,string,"country, derived from user agent string or request body field",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_language,string,"language specified in the user_agent string (above)",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_brand,string,"brand of the device where the event occurred",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_sdk_version,string,"Branch SDK version used to track this event",n,y,n,n,n,y,y,y,y,y,y,y,y,y,
user_data_app_version,string,"app version where the event occurred",n,y,n,n,n,y,y,y,n,n,y,y,y,y,
user_data_geo_country_code,string,"country code, derived from IP address (above)",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
user_data_geo_dma_code,int,"dma code, derived from IP address (above). https://support.google.com/richmedia/answer/2745487?hl=en",y,y,y,y,y,y,y,y,y,y,y,y,y,y,
event_data_transaction_id,string,"partner-specified transaction id for their internal use",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_revenue,double,"partner-specified revenue for the event",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_revenue_in_usd,double,"revenue in USD, based off of revenue, currency, and exchange rate (see below)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
event_data_exchange_rate,double,"exchange rate from the time the event occurred (may be up to 24 hours old but is typically updated within the hour)",n,n,n,n,n,n,n,n,n,n,y,n,y,y,
